STATION,STATION_NAME,DATE,MMXT
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190001,37.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190002,29.9
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190003,47.7
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190004,52.7
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190005,66.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190006,79.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190007,79.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190008,76
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190009,66.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190010,55.2
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190101,32.9
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190102,29.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190103,43.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190104,50.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190105,66.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190106,63.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190107,84.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190108,81.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190109,57.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190110,60.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190111,48.4
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190112,33
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190201,28.2
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190202,37.2
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190203,38.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190204,50.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190205,63.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190206,68.2
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190207,74.9
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190208,76.8
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190209,66.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190210,57.7
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190211,40.4
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190212,33.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190301,35.9
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190302,28.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190303,38.4
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190304,48.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190305,59.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190306,71.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190307,72.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190308,77.2
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190309,63.4
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190310,60.8
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190311,36.7
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190312,34.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190401,31.8
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190402,33.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190403,35.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190404,53.7
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190405,59.2
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190406,68.7
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190407,76.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190408,78.7
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190409,69.9
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190410,59
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190411,51.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190412,34.9
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190501,28.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190502,27.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190503,45.4
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190504,51.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190505,55.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190506,64.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190508,79.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190509,71.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190510,49.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190511,42.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190512,31.8
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190601,35.4
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190602,35.7
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190603,30.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190604,54.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190605,58.2
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190606,64.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190607,80.2
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190609,69.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190610,57.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190611,37.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190612,37
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190701,19.9
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190702,38.9
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190703,41.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190704,49.8
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190705,56.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190706,63
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190707,73.8
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190708,72.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190709,65
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190710,61.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190711,44.7
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190712,36.1
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190801,33.8
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190802,34.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190803,39.5
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190804,55.6
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190805,55.3
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190806,63.9
COOP:241044,BOZEMAN MONTANA STATE UNIVERSITY MT US,190807,80.7
